#,Team,GP,W,L,OTL,SOL,PTS,PCT,ROW,GF,GA,Streak,P10,PIM
2,Windsor Spitfires,68,44,17,4,3,95,0.699,41,305,248,0-1-1-0,8-1-1-0,702
1,Hamilton Bulldogs,68,51,12,3,2,107,0.787,47,300,176,14-0-1-0,10-0-0-0,768
7,Soo Greyhounds,68,39,22,6,1,85,0.625,37,295,246,0-1-0-0,6-4-0-0,780
4,Flint Firebirds,68,42,21,1,4,89,0.654,41,286,238,1-0-0-0,7-3-0-0,710
5,Kingston Frontenacs,68,41,22,4,1,87,0.64,37,285,242,0-1-0-0,5-3-1-1,756
3,North Bay Battalion,68,43,18,3,4,93,0.684,40,267,198,8-0-0-1,8-1-0-1,619
6,London Knights,68,39,22,5,2,85,0.625,35,264,232,1-0-0-0,3-4-2-1,809
9,Guelph Storm,68,36,24,5,3,80,0.588,34,251,228,4-0-0-0,7-2-0-1,656
11,Barrie Colts,68,34,27,6,1,75,0.551,32,245,236,1-0-0-0,3-6-1-0,619
15,Peterborough Petes,68,29,33,5,1,64,0.471,28,240,281,4-0-0-0,5-4-0-1,771
12,Kitchener Rangers,68,30,31,5,2,67,0.493,29,236,271,0-1-2-0,3-4-3-0,751
10,Owen Sound Attack,68,34,26,5,3,76,0.559,32,235,245,2-0-0-0,6-3-1-0,716
19,Saginaw Spirit,68,24,43,1,0,49,0.36,21,234,305,1-0-0-0,6-4-0-0,762
16,Sarnia Sting,68,27,36,4,1,59,0.434,26,234,279,0-1-0-0,2-8-0-0,769
8,Mississauga Steelheads,68,37,23,2,6,82,0.603,36,229,189,1-0-0-0,4-4-1-1,781
17,Erie Otters,68,27,37,2,2,58,0.426,26,223,267,0-1-0-0,3-7-0-0,667
18,Sudbury Wolves,68,23,38,3,4,53,0.39,21,223,297,0-4-0-0,2-6-0-2,900
20,Niagara IceDogs,68,22,42,3,1,48,0.353,16,218,316,0-5-0-0,3-7-0-0,760
13,Oshawa Generals,68,30,31,2,5,67,0.493,24,215,240,1-0-1-0,4-4-1-1,691
14,Ottawa 67's,68,28,31,2,7,65,0.478,24,199,250,1-0-0-1,5-4-0-1,764
