"","player_id","season.x","pts_19","gp_19","teams.x","season.y","pts_21","gp_21","teams.y","ppg_19","ppg_21","age_continuous","position","drafted","drafted_19","pm_rank_19","pm_relative_19","pm_19","gp_covid","championship","covid_league","treatment","last_name","first_name"
"1",201722,"2019-2020",14,55,1,"2021-2022",38,64,1,0.254545454545455,0.59375,17.9205479452055,"D","No","No",20,-10.9230769230769,-1,0,NA,"NONE","Didn't Play","Keane","Gerard"
"2",201761,"2019-2020",40,64,1,"2021-2022",47,35,1,0.625,1.34285714285714,17.8251366120219,"F","Yes","No",20,-11.9545454545455,-12,3,FALSE,"AHL","Played","Dickinson","Tanner"
"3",201825,"2019-2020",3,48,1,"2021-2022",44,57,1,0.0625,0.771929824561403,17.9315068493151,"F","No","No",26,-12.9230769230769,-3,0,NA,"NONE","Didn't Play","Panwar","Sahil"
"4",201865,"2019-2020",13,54,2,"2021-2022",2,11,1,0.240740740740741,0.181818181818182,17.620218579235,"D","No","No",15,-3.98,-2,0,NA,"NONE","Didn't Play","Bianconi","Michael"
"5",201866,"2019-2020",47,63,2,"2021-2022",58,49,1,0.746031746031746,1.18367346938776,17.3387978142077,"F","Yes","No",16.5,-4.95333333333333,-1,18,FALSE,"HockeyEttan","Played","Cardwell","Ethan"
"6",201871,"2019-2020",30,53,1,"2021-2022",124,68,1,0.566037735849057,1.82352941176471,16.6338797814208,"F","Yes","No",4,9,14,7,TRUE,"WJC-18","Played","Johnston","Wyatt"
"7",201874,"2019-2020",7,48,2,"2021-2022",7,34,1,0.145833333333333,0.205882352941176,17.4808743169399,"F","No","No",14,0.556774193548389,-18.5,0,NA,"NONE","Didn't Play","Peters","Cameron"
"8",201878,"2019-2020",32,63,1,"2021-2022",57,65,2,0.507936507936508,0.876923076923077,17.7868852459016,"D","Yes","No",25,-11.4642857142857,-9,19,FALSE,"HockeyEttan","Played","Thompson","Jack"
"9",201879,"2019-2020",33,57,1,"2021-2022",35,52,2,0.578947368421053,0.673076923076923,17.8196721311475,"F","No","No",20,-12.08,-33,0,NA,"NONE","Didn't Play","Uberti","Jake"
"10",201922,"2019-2020",28,57,1,"2021-2022",54,67,1,0.491228070175439,0.805970149253731,17.8438356164384,"D","No","No",5,5.80769230769231,3,0,NA,"NONE","Didn't Play","Moore","Lleyton"
"11",201934,"2019-2020",80,62,1,"2021-2022",11,13,1,1.29032258064516,0.846153846153846,17.9534246575342,"F","Yes","No",28,-12.2666666666667,-17,24,FALSE,"AHL","Played","Foerster","Tyson"
"12",201937,"2019-2020",45,59,1,"2021-2022",100,60,1,0.76271186440678,1.66666666666667,17.4808743169399,"F","No","No",24,-26.3333333333333,-33,0,NA,"NONE","Didn't Play","Morrison","Logan"
"13",201939,"2019-2020",37,54,1,"2021-2022",46,51,1,0.685185185185185,0.901960784313726,17.6284153005464,"D","Yes","No",1,16.0454545454545,16,33,FALSE,"AHL","Played","O'Rourke","Ryan"
