,player_id,team_name,season,league,gp,g,a,pts,pim,pm,first_name,last_name,name,player_type,position,shoots,dob,youth_team,nationality,weight_metric,weight_imperial,height_metric,height_imperial,draft_year,round,overall_pick_num,draft_team_name
0,504236,Hamilton Bulldogs,2018-2019,OHL,18.0,1.0,2.0,3.0,6.0,0.0,Michael,Renwick,Michael Renwick,SKATER,D,R,2002-01-26,,CAN,85.0,187.0,183.0,"6'0""",,,,
1,504236,Hamilton Bulldogs,2019-2020,OHL,59.0,3.0,14.0,17.0,42.0,2.0,Michael,Renwick,Michael Renwick,SKATER,D,R,2002-01-26,,CAN,85.0,187.0,183.0,"6'0""",,,,
2,504236,Windsor Spitfires,2021-2022,OHL,67.0,11.0,18.0,29.0,47.0,28.0,Michael,Renwick,Michael Renwick,SKATER,D,R,2002-01-26,,CAN,85.0,187.0,183.0,"6'0""",,,,
3,8478,Peterborough Petes,1994-1995,OHL,66.0,2.0,16.0,18.0,88.0,,Kevin,Bolibruck,Kevin Bolibruck,SKATER,D,L,1977-02-08,,CAN,91.0,201.0,185.0,"6'1""",,,,
4,8478,Peterborough Petes,1995-1996,OHL,57.0,6.0,21.0,27.0,105.0,,Kevin,Bolibruck,Kevin Bolibruck,SKATER,D,L,1977-02-08,,CAN,91.0,201.0,185.0,"6'1""",,,,
5,8478,Peterborough Petes,1996-1997,OHL,46.0,4.0,26.0,30.0,63.0,,Kevin,Bolibruck,Kevin Bolibruck,SKATER,D,L,1977-02-08,,CAN,91.0,201.0,185.0,"6'1""",,,,
6,96473,Brampton Battalion,2011-2012,OHL,63.0,6.0,13.0,19.0,36.0,2.0,Jamie,Lewis,Jamie Lewis,SKATER,F,R,1994-08-22,,CAN,93.0,205.0,178.0,"5'10""",,,,
7,96473,Brampton Battalion,2012-2013,OHL,65.0,11.0,17.0,28.0,30.0,4.0,Jamie,Lewis,Jamie Lewis,SKATER,F,R,1994-08-22,,CAN,93.0,205.0,178.0,"5'10""",,,,
8,96473,North Bay Battalion,2013-2014,OHL,67.0,8.0,17.0,25.0,40.0,8.0,Jamie,Lewis,Jamie Lewis,SKATER,F,R,1994-08-22,,CAN,93.0,205.0,178.0,"5'10""",,,,
9,96473,Windsor Spitfires,2014-2015,OHL,57.0,19.0,22.0,41.0,16.0,-34.0,Jamie,Lewis,Jamie Lewis,SKATER,F,R,1994-08-22,,CAN,93.0,205.0,178.0,"5'10""",,,,
10,37628,Brampton Battalion,2008-2009,OHL,28.0,0.0,3.0,3.0,14.0,1.0,Cameron,Wind,Cameron Wind,SKATER,D,L,1992-01-25,,CAN,100.0,220.0,185.0,"6'1""",,,,
11,37628,Brampton Battalion,2009-2010,OHL,66.0,3.0,8.0,11.0,42.0,7.0,Cameron,Wind,Cameron Wind,SKATER,D,L,1992-01-25,,CAN,100.0,220.0,185.0,"6'1""",,,,
12,37628,Brampton Battalion,2010-2011,OHL,63.0,1.0,14.0,15.0,62.0,4.0,Cameron,Wind,Cameron Wind,SKATER,D,L,1992-01-25,,CAN,100.0,220.0,185.0,"6'1""",,,,
13,37628,Brampton Battalion,2011-2012,OHL,68.0,2.0,19.0,21.0,94.0,16.0,Cameron,Wind,Cameron Wind,SKATER,D,L,1992-01-25,,CAN,100.0,220.0,185.0,"6'1""",,,,
14,37628,Brampton Battalion,2012-2013,OHL,65.0,1.0,18.0,19.0,37.0,-10.0,Cameron,Wind,Cameron Wind,SKATER,D,L,1992-01-25,,CAN,100.0,220.0,185.0,"6'1""",,,,
15,603119,Barrie Colts,2021-2022,OHL,39.0,1.0,5.0,6.0,26.0,-3.0,Grayson,Tiller,Grayson Tiller,SKATER,D,L,2005-02-20,,CAN,83.0,183.0,178.0,"5'10""",,,,
16,474743,Mississauga Steelheads,2021-2022,OHL,57.0,8.0,35.0,43.0,34.0,12.0,Kasper,Larsen,Kasper Larsen,SKATER,D,L,2002-09-23,Rødovre SIK,DNK,105.0,231.0,197.0,"6'6""",,,,
17,640828,Soo Greyhounds,2021-2022,OHL,43.0,1.0,4.0,5.0,25.0,-2.0,Landen,Hookey,Landen Hookey,SKATER,F,R,2004-01-29,Lambton Jr. Sting,CAN,88.0,194.0,193.0,"6'4""",,,,
18,702313,Soo Greyhounds,2021-2022,OHL,6.0,0.0,0.0,0.0,6.0,1.0,Andrew,Gibson,Andrew Gibson,SKATER,D,R,2005-02-13,,CAN,86.0,190.0,191.0,"6'3""",,,,
19,23811,Ottawa 67's,2004-2005,OHL,4.0,0.0,0.0,0.0,0.0,-1.0,Thomas,Kiriakou,Thomas Kiriakou,SKATER,F,R,1988-01-24,,CAN,93.0,205.0,184.0,"6'0""",,,,
20,23811,Ottawa 67's,2005-2006,OHL,57.0,3.0,12.0,15.0,10.0,-9.0,Thomas,Kiriakou,Thomas Kiriakou,SKATER,F,R,1988-01-24,,CAN,93.0,205.0,184.0,"6'0""",,,,
21,23811,Ottawa 67's,2006-2007,OHL,66.0,9.0,14.0,23.0,20.0,-18.0,Thomas,Kiriakou,Thomas Kiriakou,SKATER,F,R,1988-01-24,,CAN,93.0,205.0,184.0,"6'0""",,,,
22,23811,Ottawa 67's,2007-2008,OHL,66.0,15.0,26.0,41.0,46.0,-11.0,Thomas,Kiriakou,Thomas Kiriakou,SKATER,F,R,1988-01-24,,CAN,93.0,205.0,184.0,"6'0""",,,,
23,23811,Ottawa 67's,2008-2009,OHL,62.0,29.0,36.0,65.0,18.0,-2.0,Thomas,Kiriakou,Thomas Kiriakou,SKATER,F,R,1988-01-24,,CAN,93.0,205.0,184.0,"6'0""",,,,
24,233512,Soo Greyhounds,2014-2015,OHL,4.0,0.0,1.0,1.0,0.0,1.0,Jack,Kopacka,Jack Kopacka,SKATER,F,L,1998-03-05,,USA,90.0,198.0,188.0,"6'2""",2016.0,4.0,93.0,Anaheim Ducks
25,233512,Soo Greyhounds,2015-2016,OHL,67.0,20.0,23.0,43.0,12.0,-5.0,Jack,Kopacka,Jack Kopacka,SKATER,F,L,1998-03-05,,USA,90.0,198.0,188.0,"6'2""",2016.0,4.0,93.0,Anaheim Ducks
26,233512,Soo Greyhounds,2016-2017,OHL,65.0,30.0,19.0,49.0,16.0,8.0,Jack,Kopacka,Jack Kopacka,SKATER,F,L,1998-03-05,,USA,90.0,198.0,188.0,"6'2""",2016.0,4.0,93.0,Anaheim Ducks
27,233512,Soo Greyhounds,2017-2018,OHL,66.0,31.0,32.0,63.0,28.0,28.0,Jack,Kopacka,Jack Kopacka,SKATER,F,L,1998-03-05,,USA,90.0,198.0,188.0,"6'2""",2016.0,4.0,93.0,Anaheim Ducks
28,14631,Soo Greyhounds,2003-2004,OHL,55.0,3.0,6.0,9.0,41.0,-5.0,Andrew,Desjardins,Andrew Desjardins,SKATER,F,L,1986-07-27,Walden MHA,CAN,89.0,196.0,183.0,"6'0""",,,,
29,14631,Soo Greyhounds,2004-2005,OHL,68.0,17.0,17.0,34.0,49.0,6.0,Andrew,Desjardins,Andrew Desjardins,SKATER,F,L,1986-07-27,Walden MHA,CAN,89.0,196.0,183.0,"6'0""",,,,
30,14631,Soo Greyhounds,2005-2006,OHL,66.0,12.0,16.0,28.0,78.0,2.0,Andrew,Desjardins,Andrew Desjardins,SKATER,F,L,1986-07-27,Walden MHA,CAN,89.0,196.0,183.0,"6'0""",,,,
31,14631,Soo Greyhounds,2006-2007,OHL,65.0,16.0,26.0,42.0,96.0,11.0,Andrew,Desjardins,Andrew Desjardins,SKATER,F,L,1986-07-27,Walden MHA,CAN,89.0,196.0,183.0,"6'0""",,,,
32,9510,Guelph Storm,2000-2001,OHL,64.0,22.0,31.0,53.0,57.0,7.0,Daniel,Paille,Daniel Paille,SKATER,F,L,1984-04-15,Welland MHA,CAN,89.0,196.0,184.0,"6'0""",2002.0,1.0,20.0,Buffalo Sabres
33,9510,Guelph Storm,2001-2002,OHL,62.0,27.0,30.0,57.0,54.0,-1.0,Daniel,Paille,Daniel Paille,SKATER,F,L,1984-04-15,Welland MHA,CAN,89.0,196.0,184.0,"6'0""",2002.0,1.0,20.0,Buffalo Sabres
34,9510,Guelph Storm,2002-2003,OHL,54.0,30.0,27.0,57.0,28.0,7.0,Daniel,Paille,Daniel Paille,SKATER,F,L,1984-04-15,Welland MHA,CAN,89.0,196.0,184.0,"6'0""",2002.0,1.0,20.0,Buffalo Sabres
35,9510,Guelph Storm,2003-2004,OHL,59.0,37.0,43.0,80.0,63.0,27.0,Daniel,Paille,Daniel Paille,SKATER,F,L,1984-04-15,Welland MHA,CAN,89.0,196.0,184.0,"6'0""",2002.0,1.0,20.0,Buffalo Sabres
36,549076,Erie Otters,2021-2022,OHL,58.0,1.0,5.0,6.0,8.0,-20.0,Kaleb,Smith,Kaleb Smith,SKATER,F,R,2004-05-14,,USA,82.0,181.0,185.0,"6'1""",,,,
37,117018,Guelph Storm,2011-2012,OHL,63.0,13.0,22.0,35.0,24.0,-15.0,Jason,Dickinson,Jason Dickinson,SKATER,F,L,1995-07-04,Halton Hills MHA,CAN,91.0,201.0,188.0,"6'2""",2013.0,1.0,29.0,Dallas Stars
38,117018,Guelph Storm,2012-2013,OHL,66.0,18.0,29.0,47.0,31.0,19.0,Jason,Dickinson,Jason Dickinson,SKATER,F,L,1995-07-04,Halton Hills MHA,CAN,91.0,201.0,188.0,"6'2""",2013.0,1.0,29.0,Dallas Stars
39,117018,Guelph Storm,2013-2014,OHL,68.0,26.0,52.0,78.0,42.0,42.0,Jason,Dickinson,Jason Dickinson,SKATER,F,L,1995-07-04,Halton Hills MHA,CAN,91.0,201.0,188.0,"6'2""",2013.0,1.0,29.0,Dallas Stars
40,117018,Guelph Storm,2014-2015,OHL,56.0,27.0,44.0,71.0,32.0,12.0,Jason,Dickinson,Jason Dickinson,SKATER,F,L,1995-07-04,Halton Hills MHA,CAN,91.0,201.0,188.0,"6'2""",2013.0,1.0,29.0,Dallas Stars
41,252451,Niagara IceDogs,2014-2015,OHL,54.0,7.0,7.0,14.0,10.0,-2.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
42,252451,Niagara IceDogs,2015-2016,OHL,57.0,5.0,11.0,16.0,18.0,-6.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
43,252451,Niagara IceDogs,2016-2017,OHL,37.0,12.0,17.0,29.0,14.0,-7.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
44,252451,Peterborough Petes,2016-2017,OHL,29.0,7.0,12.0,19.0,14.0,8.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
45,252451,Peterborough Petes,2017-2018,OHL,61.0,16.0,13.0,29.0,16.0,-36.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
46,252451,Peterborough Petes,2018-2019,OHL,68.0,29.0,23.0,52.0,28.0,-12.0,Christopher,Paquette,Christopher Paquette,SKATER,F,R,1998-03-27,Greater Kingston MHA,CAN,95.0,209.0,188.0,"6'2""",2016.0,5.0,148.0,Tampa Bay Lightning
47,11576,Plymouth Whalers,1991-1992,OHL,62.0,13.0,36.0,49.0,58.0,,Bob,Wren,Bob Wren,SKATER,F,L,1974-09-16,,CAN,84.0,185.0,178.0,"5'10""",,,,
48,11576,Plymouth Whalers,1992-1993,OHL,63.0,57.0,88.0,145.0,91.0,,Bob,Wren,Bob Wren,SKATER,F,L,1974-09-16,,CAN,84.0,185.0,178.0,"5'10""",,,,
